,K,batch_size,beta,epochs,best_train_accuracy,best_eval_accuracy,min_train_loss,min_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_17__11_45_48,50,100,100000,200,0.09300000000000003,0.11,0.854426383972168,0.9118674397468567,0.017600606775646642,0.0003500637408061198,3.443096250295639,successful
splm_optimizer__hinge_loss__2021_06_17__11_57_45,50,100,10000,200,0.16200000000000003,0.2,0.8689069747924805,0.897526741027832,0.012128772140979722,0.00603057193101616,3.4599489641189574,successful
splm_optimizer__hinge_loss__2021_06_17__12_09_46,50,100,1000,200,0.5329999999999999,0.49,0.8501116037368774,0.8585527539253235,0.014024346869151655,0.012896224126207008,3.4916517305374146,successful
splm_optimizer__hinge_loss__2021_06_17__12_21_53,50,100,100,100,0.677,0.69,0.17393475770950317,0.1870526522397995,0.2464752650714654,0.2578027322690466,3.590989933013916,successful
splm_optimizer__hinge_loss__2021_06_17__12_30_02,50,100,31623,200,0.11400000000000002,0.12,0.8642606735229492,0.9062197208404541,0.01523196244542521,0.0021372897331746535,2.5771487486362457,successful
splm_optimizer__hinge_loss__2021_06_17__12_39_05,50,100,3162,200,0.27199999999999996,0.29,0.866622805595398,0.8874109983444214,0.009251099702954966,0.0065886206011078535,3.4665991353988646,successful
splm_optimizer__hinge_loss__2021_06_17__12_51_07,50,100,316,100,0.634,0.57,0.8081021904945374,0.8235505223274231,0.024250825886714327,0.022080420677369355,3.5200613045692446,successful
splm_optimizer__hinge_loss__2021_06_17__13_03_40,50,10,100000,200,0.16500000000000012,0.2,0.7825180292129517,0.8651458621025085,0.04111067289263672,0.007186383571961077,9.129491366147995,successful
splm_optimizer__hinge_loss__2021_06_17__13_34_48,50,10,10000,200,0.5520000000000004,0.49,0.8192495703697205,0.8571373224258423,0.021058267050932798,0.013991847938426798,9.121181223392487,successful
splm_optimizer__hinge_loss__2021_06_17__14_05_54,50,10,1000,200,0.7540000000000006,0.73,0.035847049206495285,0.0,9.0026584177124,1.1964044882186555,9.39647411465645,successful
splm_optimizer__hinge_loss__2021_06_17__14_45_02,50,10,31623,200,0.2860000000000002,0.28,0.8035909533500671,0.8670583963394165,0.027823986731468384,0.006118807498974388,9.108052531480789,successful
splm_optimizer__hinge_loss__2021_06_17__15_16_05,50,10,3162,200,0.7440000000000005,0.71,0.653292715549469,0.6822052001953125,0.06065269319861628,0.0565671868790791,9.154519979953767,successful
splm_optimizer__hinge_loss__2021_06_17__15_47_18,50,10,316,100,0.7440000000000005,0.72,0.001478424179367721,0.0,5673.4478281095935,2472.101682210733,9.854247272014618,successful
