,K,batch_size,beta,epochs,scheduler_type,step_size,gamma,best_train_accuracy,best_eval_accuracy,min_train_loss,min_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_23__15_47_21,50,1000,10,20,step_beta,10,4,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.39233614206314,successful
splm_optimizer__hinge_loss__2021_06_23__15_52_59,50,1000,10,20,step_beta,10,5,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.344053602218628,successful
splm_optimizer__hinge_loss__2021_06_23__15_58_36,50,1000,10,20,step_beta,10,6,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.060329389572143,successful
splm_optimizer__hinge_loss__2021_06_23__16_04_08,50,1000,10,20,step_beta,10,7,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.383791542053222,successful
splm_optimizer__hinge_loss__2021_06_23__16_09_45,50,1000,10,20,step_beta,10,8,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.148462855815888,successful
splm_optimizer__hinge_loss__2021_06_23__16_15_18,50,1000,10,20,step_beta,10,9,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.39847935438156,successful
splm_optimizer__hinge_loss__2021_06_23__16_22_57,50,1000,10,20,step_beta,1,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.165316116809844,successful
splm_optimizer__hinge_loss__2021_06_23__16_54_22,50,1000,10,20,step_beta,2,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.41356019973755,successful
splm_optimizer__hinge_loss__2021_06_23__17_00_00,50,1000,10,20,step_beta,2,2,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.382115292549134,successful
splm_optimizer__hinge_loss__2021_06_23__17_05_38,50,1000,10,20,step_beta,2,3,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.335333335399628,successful
splm_optimizer__hinge_loss__2021_06_23__17_41_51,50,1000,10,20,step_beta,3,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.545141446590424,successful
splm_optimizer__hinge_loss__2021_06_23__17_47_32,50,1000,10,20,step_beta,3,2,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.30538363456726,successful
splm_optimizer__hinge_loss__2021_06_23__17_53_08,50,1000,10,20,step_beta,3,3,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.22869861125946,successful
splm_optimizer__hinge_loss__2021_06_23__17_58_42,50,1000,10,20,step_beta,3,4,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.498829889297486,successful
splm_optimizer__hinge_loss__2021_06_23__18_04_23,50,1000,10,20,step_beta,3,5,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.337192451953888,successful
splm_optimizer__hinge_loss__2021_06_23__18_09_59,50,1000,10,20,step_beta,3,6,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.496572506427764,successful
