,K,batch_size,beta,epochs,scheduler_type,step_size,gamma,best_train_accuracy,best_eval_accuracy,best_train_loss,best_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_24__10_48_50,50,1000,10,20,step_beta,10,10,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.395085593081294,0.5228153155902817,15.407777774333955,successful
splm_optimizer__hinge_loss__2021_06_24__10_54_29,50,1000,10,20,step_beta,10,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.102033567428588,successful
splm_optimizer__hinge_loss__2021_06_24__11_00_01,50,1000,10,20,step_beta,10,2,0.6172,0.5705,0.2385639250278473,0.2904619872570038,10.46272249860405,12.796599894612822,15.299232673645019,successful
splm_optimizer__hinge_loss__2021_06_24__11_05_36,50,1000,10,20,step_beta,10,3,0.6172,0.5705,0.2385639250278473,0.2904619872570038,2.933622278738576,3.659796648974709,15.483122730255127,successful
splm_optimizer__hinge_loss__2021_06_24__11_11_16,50,1000,10,20,step_beta,10,4,0.6172,0.5705,0.2385639250278473,0.2904619872570038,1.57382542586729,1.934050463553317,15.277972948551177,successful
splm_optimizer__hinge_loss__2021_06_24__11_16_52,50,1000,10,20,step_beta,10,5,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.9585918227485576,1.231896695724009,15.206239724159241,successful
splm_optimizer__hinge_loss__2021_06_24__11_22_26,50,1000,10,20,step_beta,10,6,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.7187237724063692,0.9327349667505213,15.521744263172149,successful
splm_optimizer__hinge_loss__2021_06_24__11_28_06,50,1000,10,20,step_beta,10,7,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.5823403987536502,0.7618249229813123,15.305163514614105,successful
splm_optimizer__hinge_loss__2021_06_24__11_33_42,50,1000,10,20,step_beta,10,8,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.49600457241146734,0.6525806850943828,15.264620399475097,successful
splm_optimizer__hinge_loss__2021_06_24__11_39_18,50,1000,10,20,step_beta,10,9,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.4372272363356498,0.577380462099089,15.243198537826538,successful
