batch_size,K,beta
2,5,10.0
2,5,100.0
2,5,1000.0
2,5,10000.0
2,5,100000.0
2,29,10.0
2,29,100.0
2,29,1000.0
2,29,10000.0
2,29,100000.0
2,52,10.0
2,52,100.0
2,52,1000.0
2,52,10000.0
2,52,100000.0
2,76,10.0
2,76,100.0
2,76,1000.0
2,76,10000.0
2,76,100000.0
2,100,10.0
2,100,100.0
2,100,1000.0
2,100,10000.0
2,100,100000.0
26,5,10.0
26,5,100.0
26,5,1000.0
26,5,10000.0
26,5,100000.0
26,29,10.0
26,29,100.0
26,29,1000.0
26,29,10000.0
26,29,100000.0
26,52,10.0
26,52,100.0
26,52,1000.0
26,52,10000.0
26,52,100000.0
26,76,10.0
26,76,100.0
26,76,1000.0
26,76,10000.0
26,76,100000.0
26,100,10.0
26,100,100.0
26,100,1000.0
26,100,10000.0
26,100,100000.0
51,5,10.0
51,5,100.0
51,5,1000.0
51,5,10000.0
51,5,100000.0
51,29,10.0
51,29,100.0
51,29,1000.0
51,29,10000.0
51,29,100000.0
51,52,10.0
51,52,100.0
51,52,1000.0
51,52,10000.0
51,52,100000.0
51,76,10.0
51,76,100.0
51,76,1000.0
51,76,10000.0
51,76,100000.0
51,100,10.0
51,100,100.0
51,100,1000.0
51,100,10000.0
51,100,100000.0
76,5,10.0
76,5,100.0
76,5,1000.0
76,5,10000.0
76,5,100000.0
76,29,10.0
76,29,100.0
76,29,1000.0
76,29,10000.0
76,29,100000.0
76,52,10.0
76,52,100.0
76,52,1000.0
76,52,10000.0
76,52,100000.0
76,76,10.0
76,76,100.0
76,76,1000.0
76,76,10000.0
76,76,100000.0
76,100,10.0
76,100,100.0
76,100,1000.0
76,100,10000.0
76,100,100000.0
100,5,10.0
100,5,100.0
100,5,1000.0
100,5,10000.0
100,5,100000.0
100,29,10.0
100,29,100.0
100,29,1000.0
100,29,10000.0
100,29,100000.0
100,52,10.0
100,52,100.0
100,52,1000.0
100,52,10000.0
100,52,100000.0
100,76,10.0
100,76,100.0
100,76,1000.0
100,76,10000.0
100,76,100000.0
100,100,10.0
100,100,100.0
100,100,1000.0
100,100,10000.0
100,100,100000.0
